Species,Total BP,Tandem Repeats,Homopolymers,Low-Complexity Regions,Total Repeat BP,Repeat %
Human,16569,112,114,4,1324,7.99
Chimp,16554,96,117,9,1196,7.22
Gorilla,16412,138,124,24,1576,9.6
